"MAHLIFE","360.00","384.90","352.35","349.30","378.00","28.70","8.22",1106529,"413,808,650.13","550.75","252.40","43.66","4.60"
"AAVAS","1,850.25","2,016.55","1,846.00","1,861.40","1,999.15","137.75","7.40",582866,"1,150,688,228.54","3,340.00","1,698.50","-34.56","15.42"
"RAJESHEXPO","900.10","977.00","865.75","898.35","950.00","51.65","5.75",1047556,"963,070,608.60","977.00","518.50","16.89","25.50"
"AARTIDRUGS","408.50","424.40","400.55","402.20","420.00","17.80","4.43",239372,"99,741,524.96","536.40","378.00","-20.16","-6.52"
"FSL","112.10","116.80","110.10","111.50","116.35","4.85","4.35",8676975,"989,956,077.75","168.70","93.00","-23.97","13.64"
"M&MFIN","239.15","247.85","234.00","237.80","247.55","9.75","4.10",4704672,"1,121,546,758.08","247.85","128.00","58.44","3.33"
"SUPREMEIND","2,550.00","2,646.00","2,524.75","2,548.25","2,646.00","97.75","3.84",141312,"367,269,888.00","2,646.00","1,666.25","30.43","10.21"
"CANBK","288.00","297.30","278.75","285.10","295.90","10.80","3.79",16406307,"4,736,500,830.90","341.70","171.75","13.60","-9.47"
"DALBHARAT","1,791.80","1,883.95","1,791.80","1,802.65","1,868.15","65.50","3.63",408062,"753,209,000.84","2,015.00","1,212.50","-3.73","-0.39"
"TEAMLEASE","2,299.00","2,372.45","2,255.00","2,248.65","2,329.45","80.80","3.59",65274,"152,237,897.46","4,688.00","2,172.30","-46.75","-6.59"
"EPL","149.00","153.95","147.90","147.80","153.00","5.20","3.52",2033996,"307,540,195.20","198.90","147.00","-19.46","-8.72"
"ORIENTELEC","275.00","284.90","269.00","272.20","281.55","9.35","3.43",324415,"90,005,697.60","358.00","244.00","-16.85","6.89"
"TVSMOTOR","1,005.30","1,039.80","999.60","1,002.05","1,035.30","33.25","3.32",1252136,"1,276,965,856.88","1,176.90","513.00","58.59","0.52"
"CENTURYPLY","493.00","515.00","488.80","490.50","505.75","15.25","3.11",235447,"117,290,277.52","749.00","476.00","-21.10","-0.62"
"RATNAMANI","2,271.00","2,385.95","2,236.75","2,291.10","2,360.00","68.90","3.01",52719,"122,624,921.19","2,385.95","1,297.27","15.21","13.38"
"SWSOLAR","279.90","289.00","276.00","278.00","286.25","8.25","2.97",336259,"95,067,144.48","406.50","256.25","-25.98","4.78"
"JAMNAAUTO","105.80","109.90","105.50","104.85","107.95","3.10","2.96",2315777,"250,520,755.86","135.50","94.50","0.42","3.05"
"IDEA","6.80","7.00","6.45","6.80","7.00","0.20","2.94",143726966,"958,658,863.22","11.95","6.30","-39.38","-13.29"
"MHRIL","251.00","265.00","251.00","252.70","259.90","7.20","2.85",392667,"101,359,132.71","313.60","195.00","27.93","-0.29"
"KALYANKJIL","111.45","115.00","111.10","110.65","113.80","3.15","2.85",3910365,"441,636,623.10","134.20","55.05","70.46","-7.43"
"MCX","1,479.95","1,516.75","1,469.85","1,469.90","1,507.40","37.50","2.55",214112,"318,660,748.48","1,697.10","1,143.00","5.68","3.22"
"ABCAPITAL","142.00","142.85","138.00","138.50","142.00","3.50","2.53",5437878,"763,749,965.10","162.45","85.60","14.64","-5.25"
"GRINDWELL","1,992.95","2,050.00","1,975.00","1,980.20","2,029.00","48.80","2.46",194362,"390,774,519.10","2,328.35","1,451.00","9.41","5.75"
"ELGIEQUIP","381.20","390.70","377.50","379.85","389.05","9.20","2.42",701163,"266,533,091.19","566.60","248.70","-7.78","-7.63"
"PFC","139.00","141.85","135.65","138.45","141.55","3.10","2.24",5885945,"816,203,993.15","161.80","97.10","18.02","-9.82"
"PNB","51.25","52.30","49.20","50.80","51.90","1.10","2.17",114130816,"5,773,877,981.44","62.00","28.05","24.82","-8.72"
"BANKINDIA","78.25","80.40","76.65","77.75","79.40","1.65","2.12",17282156,"1,357,513,353.80","103.50","40.40","41.15","-15.34"
"TRENT","1,217.00","1,238.40","1,209.05","1,210.60","1,236.10","25.50","2.11",304320,"373,233,264.00","1,566.00","980.00","16.86","-3.46"
"AEGISCHEM","361.90","388.80","361.90","358.65","366.10","7.45","2.08",5409102,"2,041,665,549.90","388.80","167.25","60.91","7.31"
"BLUESTARCO","1,333.10","1,392.95","1,333.05","1,329.85","1,357.00","27.15","2.04",239212,"325,677,569.52","1,392.95","855.60","34.36","13.16"
"NBCC","34.80","35.25","33.65","34.50","35.20","0.70","2.03",7122070,"244,856,766.60","47.90","26.55","-24.21","-12.31"
"CARBORUNIV","967.00","994.95","967.00","972.85","992.00","19.15","1.97",519903,"513,518,591.16","994.95","652.00","9.75","7.02"
"ECLERX","1,480.00","1,532.00","1,475.55","1,452.75","1,480.00","27.25","1.88",225495,"339,056,536.95","1,716.60","1,221.00","-39.02","17.33"
"BIRLACORPN","909.90","932.70","901.15","907.20","924.00","16.80","1.85",63946,"58,726,727.48","1,430.00","823.00","-31.40","-6.10"
"MASTEK","1,630.60","1,650.00","1,613.85","1,622.45","1,650.00","27.55","1.70",27959,"45,646,422.58","3,413.10","1,490.15","-40.18","-4.19"
"BCG","27.25","27.90","25.95","27.10","27.55","0.45","1.66",26479010,"720,493,862.10","109.74","23.80","-","-4.20"
"ABBOTINDIA","20,500.00","20,925.30","20,436.65","20,480.30","20,800.00","319.70","1.56",7409,"153,652,287.40","22,499.00","15,514.00","31.57","-5.58"
"CHOLAHLDNG","602.75","610.00","597.95","600.65","609.95","9.30","1.55",398944,"239,478,104.32","713.90","536.50","-13.76","7.26"
"NOCIL","208.45","211.25","204.50","207.40","210.60","3.20","1.54",301330,"62,764,025.70","294.90","190.70","-8.41","-11.07"
"RELAXO","796.90","809.65","793.85","796.10","808.00","11.90","1.49",101333,"81,133,279.78","1,339.85","790.00","-38.59","-9.49"
"POLICYBZR","422.00","438.90","416.25","420.90","427.00","6.10","1.45",1486286,"638,880,037.10","972.40","356.20","-54.55","-7.95"
"MOTILALOFS","690.65","703.00","675.40","692.95","695.80","9.85","1.44",39622,"27,216,748.02","960.00","653.00","-23.85","-1.23"
"CSBBANK","249.00","254.00","248.50","247.45","251.00","3.55","1.43",449223,"112,862,786.52","275.10","178.00","-3.27","0.16"
"SYNGENE","561.05","572.00","559.30","562.35","570.05","7.70","1.37",814270,"460,029,979.20","683.00","510.05","-0.15","-4.16"
"PHOENIXLTD","1,367.00","1,397.80","1,340.00","1,366.95","1,384.95","18.00","1.32",104309,"143,184,964.30","1,624.00","885.05","39.32","-1.75"
"JINDALSTEL","578.00","584.90","569.55","575.05","582.50","7.45","1.30",2797927,"1,613,816,314.33","622.75","304.20","37.29","-1.84"
"CESC","71.95","73.25","71.40","71.80","72.70","0.90","1.25",1468822,"105,799,248.66","88.00","68.00","-12.47","-5.59"
"LICHSGFIN","395.50","400.70","389.60","394.85","399.75","4.90","1.24",1227587,"485,940,313.95","443.60","291.75","1.23","-4.94"
"ASHOKLEY","153.15","156.30","151.65","152.05","153.90","1.85","1.22",20503367,"3,155,673,214.97","169.45","93.20","13.00","3.67"
"AFFLE","1,077.70","1,099.70","1,054.55","1,066.45","1,079.00","12.55","1.18",168192,"180,834,992.64","1,380.00","871.55","-14.68","3.60"
"UNIONBANK","73.90","74.90","70.70","73.40","74.25","0.85","1.16",19317133,"1,401,457,999.15","96.40","33.50","53.96","-8.31"
"ESCORTS","2,051.00","2,087.55","2,040.25","2,051.15","2,074.85","23.70","1.16",144497,"297,918,134.72","2,358.35","1,306.70","13.17","-4.21"
"ATUL","7,189.95","7,270.00","7,156.05","7,167.10","7,249.60","82.50","1.15",34126,"246,666,481.86","10,647.40","6,873.75","-23.32","-8.71"
"GREENPANEL","290.95","290.95","276.25","286.65","289.90","3.25","1.13",375307,"106,031,733.64","625.70","276.25","-44.32","-12.19"
"ABFRL","250.65","251.30","245.55","248.10","250.90","2.80","1.13",770472,"191,408,358.96","359.50","221.30","-15.23","-10.42"
"TEJASNET","548.70","553.90","536.90","543.30","549.40","6.10","1.12",203266,"110,922,256.20","773.00","360.60","14.03","-6.78"
"HONAUT","39,695.00","40,118.00","39,202.65","39,507.85","39,949.95","442.10","1.12",2300,"91,398,688.00","46,250.00","30,185.35","-10.76","-0.01"
"TRITURBINE","264.00","269.60","261.20","261.10","264.00","2.90","1.11",488595,"129,140,544.45","309.35","147.25","25.85","7.99"
"TIMKEN","3,104.30","3,120.00","3,066.00","3,065.95","3,100.00","34.05","1.11",37764,"116,785,547.64","3,758.00","1,713.35","55.75","-0.80"
"MANAPPURAM","116.45","117.00","113.10","115.20","116.45","1.25","1.09",6768039,"780,287,216.31","161.75","81.50","-26.07","-3.97"
"BRIGADE","472.70","481.80","468.30","470.25","475.25","5.00","1.06",89867,"42,722,771.80","585.00","376.15","-5.47","4.30"
"MSUMI","52.15","52.70","51.05","51.90","52.45","0.55","1.06",2188733,"113,310,707.41","71.15","40.00","-","-7.67"
"VTL","293.00","296.35","287.55","292.25","295.30","3.05","1.04",126532,"37,019,467.24","2,822.00","245.50","-88.46","-6.26"
"GODREJIND","431.10","434.80","422.00","428.95","433.40","4.45","1.04",49852,"21,302,258.12","623.00","401.45","-28.06","0.34"
"ASAHIINDIA","507.00","513.00","499.55","507.80","513.00","5.20","1.02",38053,"19,296,676.30","694.00","381.00","-11.07","0.09"
"FLUOROCHEM","2,660.45","2,735.00","2,580.55","2,651.40","2,678.20","26.80","1.01",297002,"785,852,441.90","4,173.95","2,112.25","-15.24","-10.38"
"GRANULES","290.05","293.65","286.30","288.60","291.50","2.90","1.00",928424,"270,579,890.56","381.00","226.95","-8.78","-10.46"
"RBLBANK","155.50","158.25","152.20","155.45","157.00","1.55","1.00",7390871,"1,150,462,979.86","189.30","74.15","5.18","-15.49"
"CEATLTD","1,535.05","1,554.85","1,509.05","1,526.30","1,540.55","14.25","0.93",48758,"74,788,433.46","1,981.00","890.00","43.71","-7.13"
"TV18BRDCST","32.50","32.50","31.65","32.15","32.45","0.30","0.93",5420766,"173,572,927.32","82.60","31.65","-50.23","-12.80"
"SHRIRAMFIN","1,271.20","1,284.20","1,250.00","1,264.50","1,276.00","11.50","0.91",520118,"658,110,506.58","1,509.00","1,002.00","-","-3.09"
"RECLTD","118.25","119.00","115.50","117.75","118.80","1.05","0.89",6938807,"811,840,419.00","126.25","82.24","-15.54","-4.12"
"MTARTECH","1,677.00","1,731.55","1,655.15","1,677.35","1,692.00","14.65","0.87",133729,"226,326,971.47","2,320.00","1,205.00","-23.37","4.72"
"INDIANB","293.30","296.00","285.15","292.25","294.80","2.55","0.87",1865368,"544,482,265.52","310.00","131.50","75.01","0.03"
"GLAXO","1,237.10","1,248.90","1,231.00","1,235.25","1,246.00","10.75","0.87",18635,"23,099,759.65","1,734.00","1,231.00","-20.86","-4.39"
"TATACOMM","1,226.60","1,233.90","1,197.00","1,213.80","1,224.05","10.25","0.84",307741,"374,570,035.56","1,430.60","856.25","-6.50","-7.55"
"GMRINFRA","37.75","37.80","36.40","37.20","37.50","0.30","0.81",17133484,"633,938,908.00","44.50","31.75","-12.98","-7.05"
"CRISIL","3,130.00","3,137.00","3,081.65","3,102.95","3,127.00","24.05","0.78",17983,"55,914,541.90","3,863.55","2,540.00","11.75","6.08"
"ROSSARI","691.15","694.75","685.10","689.45","694.75","5.30","0.77",14996,"10,347,389.96","1,250.00","648.00","-43.14","-6.65"
"PFIZER","3,854.95","3,890.00","3,852.25","3,854.85","3,883.85","29.00","0.75",5795,"22,404,049.50","4,662.60","3,800.00","-13.39","-11.40"
"L&TFH","87.10","87.90","84.40","86.60","87.25","0.65","0.75",6755720,"583,221,307.60","98.30","58.50","15.58","-1.64"
"KEI","1,682.90","1,698.00","1,655.05","1,668.70","1,678.15","12.45","0.75",169881,"285,060,318.00","1,730.95","951.00","52.61","10.46"
"PRSMJOHNSN","106.50","106.50","99.35","102.25","103.00","0.75","0.73",566486,"57,815,561.16","143.70","96.65","-24.12","-5.74"
"NUVOCO","352.95","354.10","335.05","349.50","352.00","2.50","0.72",74072,"25,491,138.08","475.00","260.25","-22.47","-4.60"
"360ONE","1,891.30","1,911.00","1,884.90","1,886.60","1,900.00","13.40","0.71",27545,"52,352,853.35","1,960.00","1,235.80","-","-"
"LAXMIMACH","11,447.00","11,567.00","11,270.25","11,422.40","11,500.00","77.60","0.68",3497,"39,824,920.07","14,200.00","8,200.00","5.83","-3.46"
"DEEPAKFERT","666.00","668.30","626.25","654.35","658.75","4.40","0.67",512957,"330,949,597.26","1,062.00","506.65","0.83","-6.81"
"CUB","157.25","159.20","155.10","156.45","157.50","1.05","0.67",964594,"151,653,468.68","205.00","109.00","9.25","-11.33"
"ASTRAL","2,037.95","2,063.75","2,008.30","2,036.45","2,050.00","13.55","0.67",240673,"491,377,250.64","2,654.80","1,581.55","-5.81","2.18"
"CYIENT","895.00","915.90","885.25","891.05","896.80","5.75","0.65",667704,"601,447,732.08","1,007.75","720.00","-6.49","9.72"
"KANSAINER","411.00","424.85","411.00","413.80","416.40","2.60","0.63",242458,"101,061,343.56","571.00","358.15","-22.76","-1.83"
"BALAMINES","2,317.05","2,340.00","2,288.45","2,315.55","2,330.00","14.45","0.62",22885,"53,062,762.95","3,844.00","2,250.00","-33.57","-8.81"
"CCL","559.30","579.40","548.00","564.40","567.90","3.50","0.62",394103,"223,164,764.78","579.40","315.20","13.63","5.31"
"AUBANK","628.00","631.25","615.00","625.35","629.20","3.85","0.62",611768,"382,679,237.04","732.98","525.00","-53.18","-1.09"
"RAMCOCEM","683.80","688.90","669.10","681.80","685.85","4.05","0.59",221276,"150,447,765.16","909.95","575.65","-22.58","-3.78"
"CONCOR","614.00","614.50","591.25","608.10","611.70","3.60","0.59",1174302,"710,534,911.14","828.75","554.00","-4.68","-17.25"
"JSL","266.00","267.40","261.00","265.50","267.05","1.55","0.58",625824,"165,705,678.72","272.60","95.05","22.98","12.01"
"PERSISTENT","4,840.00","4,880.00","4,786.25","4,824.40","4,852.45","28.05","0.58",330668,"1,603,342,998.40","4,954.00","3,092.05","12.91","23.45"
"GARFIBRES","2,949.75","2,975.00","2,899.40","2,935.05","2,952.00","16.95","0.58",4571,"13,434,991.78","3,754.85","2,619.80","-5.23","-5.70"
"VIJAYA","421.00","424.80","415.50","421.00","423.40","2.40","0.57",48515,"20,413,171.40","528.00","295.00","-16.05","5.18"
"AMBER","1,898.90","1,907.00","1,880.00","1,889.50","1,900.00","10.50","0.56",33735,"64,022,620.35","4,025.95","1,843.00","-47.86","-1.35"
"CGPOWER","307.00","310.50","303.90","306.10","307.80","1.70","0.56",3179890,"979,406,120.00","315.40","154.00","66.62","14.16"
"REDINGTON","184.90","187.95","181.65","183.60","184.60","1.00","0.54",2349924,"433,654,974.96","202.30","109.40","12.92","-1.75"
"KPRMILL","527.90","533.95","525.15","525.15","528.00","2.85","0.54",93799,"49,770,687.39","728.80","479.45","-25.79","0.26"
"KRBL","393.20","399.20","393.20","395.50","397.50","2.00","0.51",240712,"95,341,208.96","445.00","184.50","67.68","1.90"
"CANFINHOME","578.00","581.00","564.05","571.65","574.50","2.85","0.50",1067554,"611,516,282.28","685.00","406.65","-9.96","5.99"
"JBCHEPHARM","2,040.85","2,072.25","2,019.05","2,040.05","2,050.00","9.95","0.49",40199,"82,519,301.23","2,150.00","1,342.20","17.01","3.29"
"INDIAMART","4,550.00","4,605.00","4,527.60","4,538.50","4,560.00","21.50","0.47",72353,"330,368,139.18","5,382.00","3,676.00","-10.10","4.56"
"ZENSARTECH","236.95","238.55","234.00","235.70","235.30","1.10","0.47",634449,"149,526,940.32","441.00","201.50","-43.34","11.93"
"DEVYANI","151.90","152.70","148.05","150.30","151.00","0.70","0.47",1147149,"172,542,681.09","215.00","141.00","-15.09","-12.67"
"PVR","1,680.15","1,718.55","1,680.15","1,680.15","1,687.65","7.50","0.45",372284,"631,218,690.52","2,214.85","1,485.55","5.18","0.91"
"ZYDUSLIFE","433.95","442.00","426.60","432.85","434.75","1.90","0.44",1461408,"634,104,931.20","459.00","319.00","-","0.54"
"JYOTHYLAB","208.35","213.80","204.10","208.00","208.90","0.90","0.43",319409,"66,328,472.94","217.90","130.15","49.75","2.25"
"PCBL","121.50","121.50","119.50","120.15","120.60","0.45","0.37",661606,"79,716,906.94","153.75","89.00","-46.78","-6.40"
"SUPRAJIT","322.15","328.00","321.10","320.95","322.15","1.20","0.37",92018,"29,905,850.00","417.40","272.05","-21.17","-2.36"
"IOB","27.10","27.30","25.85","26.75","26.85","0.10","0.37",27398246,"724,683,606.70","36.70","15.25","27.08","-15.21"
"KALPATPOWR","505.15","512.40","497.00","505.15","507.00","1.85","0.37",228888,"115,538,084.64","575.95","331.80","24.98","-6.63"
"HINDZINC","344.00","349.60","340.30","343.75","345.00","1.25","0.36",695416,"240,426,173.68","383.00","242.05","5.04","2.53"
"CREDITACC","899.00","925.60","880.25","896.75","900.00","3.25","0.36",30760,"27,644,934.80","1,154.00","617.00","37.21","3.34"
"SPARC","194.60","199.00","191.65","193.55","194.25","0.70","0.36",186469,"36,270,085.19","349.00","170.45","-41.32","-6.85"
"HGS","1,292.00","1,305.75","1,281.20","1,298.25","1,302.90","4.65","0.36",45321,"58,725,592.17","2,820.00","846.00","-48.91","-0.98"
"UCOBANK","28.30","28.55","26.75","28.05","28.15","0.10","0.36",18388747,"506,242,204.91","38.15","10.55","108.55","-12.89"
"CAMS","2,242.10","2,284.95","2,235.65","2,258.55","2,266.00","7.45","0.33",64068,"144,880,171.80","2,948.00","2,037.15","-19.60","1.99"
"GESHIP","641.25","650.35","631.65","638.90","641.00","2.10","0.33",115430,"74,012,561.70","748.90","304.00","102.33","-0.92"
"TTML","78.70","78.70","74.25","77.45","77.70","0.25","0.32",2299957,"175,371,721.25","210.40","73.00","-","-12.71"
"EASEMYTRIP","50.60","51.40","49.15","50.20","50.35","0.15","0.30",7183605,"361,694,511.75","620.95","44.95","-91.54","-2.13"
"CHEMPLASTS","436.20","448.00","425.10","433.80","435.00","1.20","0.28",88912,"38,596,699.20","685.00","357.20","-22.25","-6.90"
"BALKRISIND","2,278.00","2,299.90","2,235.80","2,277.85","2,284.00","6.15","0.27",125318,"285,022,006.02","2,450.00","1,690.55","0.03","5.24"
"LUPIN","742.10","747.30","733.05","742.00","744.00","2.00","0.27",383860,"283,971,950.80","918.75","583.00","-15.23","-0.46"
"NATCOPHARM","528.85","536.90","522.35","525.75","527.15","1.40","0.27",168217,"88,689,048.91","938.80","502.00","-42.18","-5.76"
"TATACHEM","968.60","999.00","961.05","967.25","969.75","2.50","0.26",1424837,"1,388,546,401.61","1,214.90","773.35","1.28","2.95"
"OFSS","3,127.65","3,169.00","3,086.20","3,112.05","3,120.00","7.95","0.26",55908,"173,842,012.44","3,834.00","2,883.25","-13.83","3.89"
"NAVINFLUOR","4,000.00","4,021.85","3,956.50","3,994.65","4,004.00","9.35","0.23",45064,"179,784,179.92","4,848.35","3,360.00","-3.06","1.70"
